Series ID,Region Name,Region Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GCT1501AL,Alabama,01,80.1,80.4,81.9,82.1,82.1,82.7,84.0,84.5,84.7,84.9,85.1,86.5,86.6,87.1
GCT1501AK,Alaska,02,89.7,90.5,91.6,91.4,91.0,91.8,92.0,91.6,92.9,92.6,93.1,91.7,93.3,93.6
GCT1501AZ,Arizona,04,83.8,83.5,83.8,84.2,85.6,85.7,85.7,85.9,86.1,86.1,86.7,87.2,87.5,87.6
GCT1501AR,Arkansas,05,80.5,81.1,82.0,82.4,82.9,83.8,84.8,84.4,85.3,85.4,86.0,86.7,87.2,87.5
GCT1501CA,California,06,80.1,80.2,80.2,80.6,80.7,81.1,81.5,81.7,82.1,82.2,82.4,83.3,83.8,84.0
GCT1501CO,Colorado,08,88.0,88.9,88.9,89.3,89.7,90.2,90.6,90.5,90.5,91.2,91.4,91.6,91.9,92.4
GCT1501CT,Connecticut,09,88.0,88.0,88.6,88.6,88.6,89.1,89.9,89.7,90.1,90.2,90.5,90.4,90.9,90.7
GCT1501DE,Delaware,10,85.5,87.4,87.2,87.4,87.7,87.0,88.5,88.3,89.0,88.9,89.3,90.6,89.8,90.3
GCT1501DC,District of Columbia,11,84.3,85.7,85.8,87.1,87.4,87.2,88.6,90.1,90.2,89.8,90.5,90.2,92.1,91.9
GCT1501FL,Florida,12,84.5,84.9,85.2,85.3,85.5,85.9,86.5,86.8,87.2,87.6,87.4,88.4,88.5,88.4
GCT1501GA,Georgia,13,82.2,82.9,83.9,83.9,84.3,84.3,85.0,85.5,85.6,86.1,86.4,87.0,87.6,87.9
GCT1501HI,Hawaii,15,89.0,89.4,90.3,90.4,89.9,90.6,90.4,91.0,91.7,90.9,92.0,92.3,92.0,92.4
GCT1501ID,Idaho,16,87.3,88.4,87.9,88.4,88.3,88.6,89.8,89.4,90.1,90.0,90.4,90.8,90.9,91.5
GCT1501IL,Illinois,17,85.0,85.7,85.9,86.4,86.9,87.2,87.6,87.8,88.2,88.6,88.8,89.1,89.5,89.8
GCT1501IN,Indiana,18,85.2,85.8,86.2,86.6,87.0,87.3,87.6,87.6,88.4,88.2,88.4,88.6,89.0,89.6
GCT1501IA,Iowa,19,88.9,89.6,90.3,90.5,90.6,90.6,91.6,91.6,92.1,91.7,91.8,92.1,92.3,92.6
GCT1501KS,Kansas,20,88.5,89.1,89.5,89.7,89.2,90.0,90.2,90.1,90.3,90.3,90.5,91.0,91.0,91.8
GCT1501KY,Kentucky,21,79.6,80.1,81.3,81.7,81.9,83.1,83.8,84.1,84.5,85.1,85.7,86.3,86.8,87.2
