Series ID,Region Name,Region Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALHOWN,Alabama,01,73.7,70.4,70.3,67.9,66.5,67.6,68.4,69.9,70.3,70.2,68.5,70.1,71.0,71.3,72.9,74.8,73.2,73.2,73.7,76.2,78.0,76.6,74.2,73.3,73.0,74.1,73.2,72.9,71.9,72.7,72.1,70.0,69.7,70.0,70.3,70.7
AKHOWN,Alaska,02,57.6,61.2,61.5,59.7,57.0,58.7,58.4,57.1,55.5,55.4,58.8,60.9,62.9,67.2,66.3,66.4,66.4,65.3,67.1,70.0,67.2,66.0,67.2,66.6,66.4,66.8,65.7,64.4,63.7,64.6,64.9,62.3,65.2,65.5,63.7,62.6
AZHOWN,Arizona,04,65.2,64.7,62.5,63.3,66.1,63.9,64.5,66.3,69.3,69.1,67.7,62.9,62.0,63.0,64.3,66.3,68.0,68.1,65.6,67.0,68.7,71.1,71.6,70.4,69.1,68.9,66.6,66.0,65.3,65.1,63.5,61.7,61.9,64.4,65.7,65.8
ARHOWN,Arkansas,05,65.9,66.6,67.5,68.1,67.0,66.3,67.8,68.6,70.3,70.5,68.1,67.2,66.6,66.7,66.7,65.6,68.9,71.2,70.3,69.6,69.1,69.2,70.8,69.5,68.9,68.5,67.9,67.6,66.0,65.4,65.4,67.1,67.6,65.0,64.7,65.3
CAHOWN,California,06,53.7,54.2,53.8,54.3,54.4,53.6,53.8,54.5,55.3,56.0,55.5,55.4,55.0,55.7,56.0,55.7,57.1,58.2,57.7,58.9,59.7,59.7,60.2,58.3,57.5,57.0,56.1,55.3,54.5,54.3,54.2,54.3,53.8,54.4,55.1,54.8
COHOWN,Colorado,08,64.7,63.6,63.7,61.8,60.1,58.6,59.0,59.8,60.9,61.8,62.9,64.6,64.5,64.1,65.2,68.1,68.3,68.5,68.9,71.3,71.1,71.0,70.1,70.2,69.0,68.4,68.5,65.9,65.3,64.4,65.0,63.6,62.4,63.7,64.4,64.7
CTHOWN,Connecticut,09,67.8,69.0,68.1,67.0,66.5,66.4,67.9,65.5,66.1,64.5,63.8,68.2,69.0,68.1,69.3,69.1,70.0,71.8,71.5,73.0,71.7,70.5,71.1,70.3,70.7,70.5,70.8,70.6,68.8,68.5,67.4,66.5,64.2,66.1,65.3,64.3
DEHOWN,Delaware,10,70.4,70.3,71.0,71.1,70.1,68.7,67.7,70.2,73.8,74.1,70.5,71.7,71.5,69.2,71.0,71.6,72.0,75.4,75.6,77.2,77.3,75.8,76.8,76.8,76.2,76.5,74.7,74.2,73.4,74.1,74.3,73.3,73.0,70.0,70.8,73.1
DCHOWN,District of Columbia,11,37.3,37.4,34.6,35.8,37.5,38.7,36.4,35.1,35.0,35.7,37.8,39.2,40.4,42.5,40.3,40.0,41.9,42.7,44.1,43.0,45.6,45.8,45.9,47.2,44.1,44.9,45.6,44.8,45.0,44.6,41.5,40.4,40.8,40.3,39.9,40.2
FLHOWN,Florida,12,66.5,67.2,66.5,66.3,64.9,64.4,65.1,66.1,66.0,65.5,65.7,66.6,67.1,66.9,66.9,67.6,68.4,69.2,68.7,69.5,72.2,72.4,72.4,71.8,71.1,70.9,69.3,69.0,67.0,66.1,64.9,64.8,64.3,64.1,65.5,66.0
GAHOWN,Georgia,13,63.6,62.7,62.4,63.9,64.8,64.7,64.3,65.7,66.9,66.5,63.4,66.6,69.3,70.9,71.2,71.3,69.8,70.1,71.8,71.4,70.9,67.9,68.5,67.6,68.2,67.4,67.1,66.2,64.3,64.2,62.9,62.9,62.3,62.8,63.8,64.4
HIHOWN,Hawaii,15,50.7,51.0,50.9,50.7,53.2,54.7,55.5,55.2,53.8,52.8,52.3,50.2,50.6,50.2,52.8,56.6,55.2,55.5,57.9,58.3,60.6,59.8,59.9,60.1,59.1,59.5,56.1,55.4,57.2,57.3,58.4,59.3,57.7,55.9,59.5,60.0
IDHOWN,Idaho,16,69.7,71.0,69.8,71.6,71.5,70.2,69.4,68.4,70.3,72.1,70.7,72.0,71.4,72.3,72.6,70.3,70.5,71.7,73.0,74.4,73.7,74.2,75.1,74.5,75.0,75.5,72.4,72.4,73.0,71.5,69.6,70.0,70.5,69.9,69.2,70.6
